marca,modelo,ano,cor,placa,chassi,valor_compra,valor_venda,status,observacoes
HONDA,ADV 150,,,RKB-9G22,9C2KF4300PR008509,0,0,Vendida,
HONDA,CB250F TWISTER,2015/2016,BRANCA,KWY-6E29,9C2MC4400GR002141,0,0,Vendida,
HONDA,CRF 250 F,,,,9c2kf52205r004055,0,0,Vendida,
HONDA,CG 150 FAN,2012/2012,PRETA,KVS-4955,9C2KC1680CR448623,0,0,Salão,
YAMAHA,YS150 FAZER SED,,,KWJ-7A69,9C6KG0650E0010859,0,0,Vendida,
YAMAHA,NEO 125,,,RKL-6H47,9C6SEB520N0039016,0,0,Salão,
YAMAHA,NEO 125,2022/2023,PRETA,RKL6J44,9C65EB520P0041615,0,0,Salão,
YAMAHA,,,VERMELHA,,,0,0,Salão,
HONDA,NXR160 BROS ESDD,,,SRU-3E11,9C2KD0810RR037594,0,0,Salão,
YAMAHA,MT 03 ABS,,,SQV-1G71,9C6RH1150R0023602,0,0,,
YAMAHA,SAHARA RALLY,2024/2024,VERMELHA,SRX5H38,9C2ND1730RR109105,0,0,Vendida,
YAMAHA,XMAX ,2022/2022,VERMELHA,RKR-6E53,9C6SG6210N0010598,0,0,Salão,
YAMAHA,XMAX,,AZUL,RJG-3H16,9C6SG6210M0006593,0,0,Salão,
YAMAHA,YZF R3,2022/2022,AZUL,RKO-6C30,9C6RH0940N0004944,0,0,Salão,
YAMAHA,YBR 150 FACTOR ED,,BRANCA,RKO-1A65,9C6RG3150M0042359,0,0,Vendida,
SHINERAY,XY125-6A SHINERAY,2020/2021,VERMELHA,RKM-4B65,99HJT4125MS000088,0,0,Vendida,
HONDA,CG 160 TITAN,,LARANJA,TUU-0H45,9C2KC2210SR013963,0,0,Salão,
YAMAHA,YBR 125I FACTOR ED ,2024/2025,PRETA,TTC-4J81,9C6RE2140S0066420,0,0,Salão,
YAMAHA,YBR125I FACTOR ED ,,PRETA,TUT-0H27,9C6RE2140S0066423,0,0,Salão,
YAMAHA,YBR150 NOVA FACTOR,2024/2025,VERMELHA,TTI5A12,9C6RG9910S0000349,0,0,Vendida,
YAMAHA,YS150 FAZER SED,,VERMELHA,TTI-2F13,9C6RG3850S0078638,0,0,Oficina,
YAMAHA,NEO 125,2024/2025,AZUL,TTA-1A14,9C6SEB540S0009556,0,0,Salão,
YAMAHA,NEO 125,2024/2025,VERMELHA,TUF-0B05,9C6SEB540S0009092,0,0,Salão,
YAMAHA,NMAX 160,2025/2025,VERMELHA,TTG5F20,9C6SG9110S0002299,0,0,Salão,
YAMAHA,NMAX160,,PRETO,SRL8E47,9C6SG5920R0017759,0,0,Salão,
YAMAHA,NMAX 160,2025/2025,PRETA,TTF-8B49,9C6SG911050007009,0,0,Salão,
HONDA,PCX 160 CBS,,BRANCA,,9C2KF5200SR004833,0,0,Salão,
HONDA,PCX 160 CBS,,BRANCA,,9C2KF5200SR004833,0,0,Salão,
HONDA,PCX 160 ABS,,,,9C2KF5210SR002079,0,0,Salão,
HONDA,POP 110I ES,,BRANCA,TUW-0D59,9C2JB0100SR256124,0,0,Salão,
YAMAHA,YZF R3 ABS ,2024/2025,BRANCA,TTG-5E72,9C6RH0940S0010405,0,0,Salão,
,,,,,,0,0,,
BMW , C400X SCOOTER,2023/2024,PRETA,SYC7D49,99Z0C3000RZ929412,0,0,Com Pendência,
,,,,,,0,0,,
YAMAHA,MT03 ABS,,PRETA,SQV-1G71,9C6RH1150R0023602,0,0,Vendida,
YAMAHA,FAZER 250,,VERMELHA,RIQ-2B40,9C6RG5010L0053508,0,0,Vendida,
HONDA,ELITE,,VERMELHA,RIP2E20,PC2JF8500MR000642,0,0,Salão,
YAMAHA,MT 03 ABS,,CINZA,SRP7H34,9C6RH1150R0030984,0,0,Vendida,
HONDA,CB 250 TWISTER ,2020/2020,VERMELHO,RKS-2H19,9C2MC4400LR214467,0,0,Vendida,
YAMAHA,FZ 25,2022/2022,PRETA,RJB-6E63,9C6RG5020N0021516,0,0,Oficina,
HONDA,PCX DLX ABS,2023/2023,AZUL,SRP1I22,9C2KF5220PR012965,0,0,Oficina,
HONDA,PCX 160 ABS,2023/2023,BRANCA,LUQ-8D44,9C2KF5210PR008433,0,0,Oficina,
HONDA,CRF 250 F,2022/2022,VERMELHA,,00000000000000000000000000,0,0,Oficina,
YAMAHA,NEO 125,2024/2024,PRETA,SRQ2B02,9C6SEB520R0069469,0,0,Oficina,
HONDA, PCX 150 REPASSE,2019/2020,CINZA ,RKD0E44,9C2KF3400LR003213,0,0,Oficina,
YAMAHA ,FZ 15 FAZER ABS,2025/2025,CINZA,TTE-8G31,9C6RG7720S0009406,0,0,Salão,
YAMAHA,YS150 FAZER SED,2024/2025,VERMELHA,TTI2F13,9C6RG3850S0078638,0,0,Salão,
BMW,C400X,2023/2024,PRETA,SYC7D49,99Z0C3000RZ929412,0,0,Oficina,
YAMAHA,YBR 150 FACTOR ED,2024/2024,VERMELHA,SRT6G83,9C6RG3160R0140426,0,0,Vendida,
HONDA ,PCX 160 DLX ABS,2023/2023,AZUL,SRP1I22,9C2KF5220PR012865,0,0,Oficina,
YAMAHA,LANDER XTZ 250 ABS,2025/2025,VERMELHA,TTG-5I60,9C6DG3340S0014648,0,0,Salão,
YAMAHA,FZ25 FAZER,2020/2020,VERMELHA,RIQ-2B40,9C6RG5010L0053508,0,0,Oficina,
YAMAHA,FZ 25,2024/2024,VERDE,SRB-9H41,9C6RG5020R0094391,0,0,Oficina,
KAWASAKI,Z900,2023/2023,PRETA,SQY5B61,96PZREF19PF500843,0,0,Vendida,
HONDA,NC 750X,2015/2015,PRETA,LSE7D80,9C2RC7320FR000596,0,0,Oficina,
